"hasTarget","CAS.nummer","EC.Nummer","Stofnaam_IUPAC","CLP_Aanwezig","SVHC_Aanwezig","Restrict_Aanwezig","POP_Aanwezig","OSPAR_Aanwezig","WFD_Aanwezig","Gewas_Aanwezig","Biociden_Aanwezig"
"","101357-03-3","309-900-0","Cadmium selenide (CdSe), solid soln. with cadmium sulfide, zinc selenide and zinc sulfide, gold and manganese-doped",0,0,1,0,0,1,0,0
"","101357-04-4","309-901-6","Cadmium selenide (CdSe), solid soln. with cadmium sulfide, zinc selenide and zinc sulfide, manganese and silver-doped",0,0,1,0,0,1,0,0
"","101631-14-5","309-939-3","Distillates (petroleum), heavy steam-cracked|Cracked gasoil|[A complex combination of hydrocarbons obtained by distillation of steam cracking heavy residues. It consists predominantly of highly alkylated heavy aromatic hydrocarbons boiling in the range of",1,0,0,0,0,0,0,0
"","101631-20-3","309-945-6","Naphtha (petroleum), heavy straight run, arom.-contg.|Low boiling point naphtha|[A complex combination of hydrocarbons obtained from a distillation process of crude petroleum.  It consists predominantly of hydrocarbons having carbon numbers in the range o",1,0,0,0,0,0,0,0
"","101794-74-5","309-956-6","Aromatic hydrocarbons, C<sub>20-28</sub>, polycyclic, mixed coal-tar pitch-polyethylene-polypropylene pyrolysis-derived|Pyrolysis Products|[A complex combination hydrocarbons obtained from mixed coal tar pitch-polyethylene-polypropylene pyrolysis. Compose",1,0,0,0,0,0,0,0
"","101794-75-6","309-957-1","Aromatic hydrocarbons, C<sub>20-28</sub>, polycyclic, mixed coal-tar pitch-polyethylene pyrolysis-derived|Pyrolysis Products|[A complex combination of hydrocarbons obtained from mixed coal tar pitch-polyethylene pyrolysis. Composed primarily of polycyclic",1,0,0,0,0,0,0,0
"","101794-76-7","309-958-7","Aromatic hydrocarbons, C<sub>20-28</sub>, polycyclic, mixed coal-tar pitch-polystyrene pyrolysis-derived|Pyrolysis Products|[A complex combination of hydrocarbons obtained from mixed coal tar pitch-polystyrene pyrolysis. Composed primarily of polycyclic a",1,0,0,0,0,0,0,0
"","101794-90-5","309-971-8","Distillates (coal tar), light oils, neutral fraction| Light Oil Extract Residues, high boiling|[A distillate from the fractional distillation of high temperature coal tar. Composed primarily of alkyl-substituted one ring aromatic hydrocarbons boiling in t",1,0,0,0,0,0,0,0
"","101794-91-6","309-972-3","Distillates (coal tar), naphthalene oils, indole-methylnaphthalene fraction|Methylnaphthalene Oil|[A distillate from the fractional distillation of high temperature coal tar.  Composed primarily of indole and methylnaphthalene boiling in the range of appr",1,0,0,0,0,0,0,0
"","101794-97-2","309-974-4","Hydrocarbons, C<sub>8-12</sub>, catalytic cracker distillates|Low boiling point cat-cracked naphtha|[A complex combination of hydrocarbons obtained by distillation of products from a catalytic cracking process. It consists predominantly of hydrocarbons ha",1,0,0,0,0,0,0,0
"","101795-01-1","309-976-5","Naphtha (petroleum), sweetened light|Low boiling point naphtha - unspecified|[A complex combination of hydrocarbons obtained by subjecting a petroleum naphtha to a sweetening process to convert mercaptans or to remove acidic impurities.  It consists predo",1,0,0,0,0,0,0,0
"","101896-26-8","309-984-9","Distillates (coal tar), benzole fraction, BTX-rich|Light Oil Redistillate, low boiling|[A residue from the distillation of crude benzole to remove benzole fronts.  Composed primarily of benzene, toluene and xylenes boiling in the range of approximately 75",1,0,0,0,0,0,0,0
"","101896-27-9","309-985-4","Distillates (coal tar), naphthalene oils, methylnaphthalene fraction|Methylnaphthalene Oil|[A distillate from the fractional distillation of high temperature coal tar.  Composed primarily of substituted two ring aromatic hydrocarbons and aromatic nitrogen",1,0,0,0,0,0,0,0
"","101896-28-0","309-987-5","Hydrocarbons, C<sub>8-12</sub>, catalytic cracking, chem. neutralized, sweetened|Low boiling point cat-cracked naphtha",1,0,0,0,0,0,0,0
"","102047-25-6","310-002-6","Phosphoric acid, calcium salt (1:1), solid soln. with calcium chloride, calcium fluoride, calcium oxide, phosphorus oxide (P2O5) and strontium oxide, lead and manganese-doped",0,0,1,0,0,1,0,0
"","102110-14-5","310-012-0","Hydrocarbons, C<sub>3-6</sub>, C<sub>5</sub>-rich, steam-cracked naphtha|Low boiling point naphtha - unspecified|[A complex combination of hydrocarbons obtained by distillation of steam-cracked naphtha.  It consists predominantly of hydrocarbons having ca",1,0,0,0,0,0,0,0
"","102110-15-6","310-013-6","Hydrocarbons, C<sub>5</sub>-rich, dicyclopentadiene-contg.|Low boiling point naphtha - unspecified|[A complex combination of hydrocarbons obtained by distillation of the products from a steam-cracking process.  It consists predominantly of hydrocarbons ha",1,0,0,0,0,0,0,0
"","102110-21-4","310-019-9","Arsenic acid (H3AsO4), magnesium salt, manganese-doped",0,0,1,0,0,0,0,0
"","102110-24-7","310-023-0","Barium oxide (BaO), solid soln. with calcium oxide, strontium oxide and tungsten oxide (WO3), lead-doped",0,0,1,0,0,1,0,0
"","102110-26-9","310-025-1","Boric acid (H3BO3), solid soln. with barium oxide, calcium oxide and strontium oxide, lead and manganese-doped",0,0,1,0,0,1,0,0
"","102110-30-5","310-029-3","Cadmium oxide (CdO), solid soln. with magnesium oxide, tungsten oxide (WO3) and zinc oxide",0,0,1,0,0,1,0,0
"","102110-36-1","310-036-1","Silicic acid, calcium salt, lead and manganese-doped",0,0,1,0,0,1,0,0
"","102110-48-5","310-049-2","Lead ores, concs., leached",0,0,1,0,0,1,0,0
"","102110-49-6","310-050-8","Residues, copper-iron-lead-nickel matte, sulfuric acid-insol.",0,0,1,0,0,1,0,0
"","102110-50-9","310-051-3","Residues, precious metal refining cementation",0,0,1,0,0,1,0,0
