"hasTarget","casNumber","ecNumber","label_en","CLP_Aanwezig","SVHC_Aanwezig","Restrict_Aanwezig","POP_Aanwezig","OSPAR_Aanwezig","WFD_Aanwezig","Gewas_Aanwezig","Biociden_Aanwezig","pubchem"
"AIDFGYMTQWWVES-UHFFFAOYSA-K","15752-05-3","239-842-0","Triammonium hexachloroiridate","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID11224929|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID138398131|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID13955979|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID161145"
"AIVWIYIHAXBGHP-UHFFFAOYSA-N","57321-10-5","260-678-0","44-(nonylphenoxy)-3,6,9,12,15,18,21,24,27,30,33,36,39,42-tetradecaoxatetratetracontanol","0","1","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6453460"
"AIYYMMQIMJOTBM-UHFFFAOYSA-L","373-02-4","206-761-7","nickel di(acetate)","1","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID9756"
"AJSOQFSSIPJHMP-UHFFFAOYSA-N","911370-98-4","","4-(3-ethylpentyl)phenol","0","1","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID18730076"
"AJVCEIPMQIRLFR-UHFFFAOYSA-N","21892-63-7","244-639-5","Methylenebis(diphenylarsine)","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID89089"
"AKNPEMSZIKCOGC-UHFFFAOYSA-L","14977-61-8","239-056-8","chromyl dichloride|chromic oxychloride","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID22150757"
"AKUZJQBOBCRXOK-UHFFFAOYSA-N","65321-67-7","265-697-8","toluene-2,4-diammonium sulphate|4-methyl-m-phenylenediamine sulfate","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID45108317|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6455108"
"ALEHWDIPILHWRS-UHFFFAOYSA-N","70776-98-6","","2-ethylhexanoic acid|nickel|2,2,2-trifluoroacetic acid","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID116698"
"ALEROMXYYSQFLX-UHFFFAOYSA-N","71850-09-4|68515-50-4","276-090-2|271-093-5","diisohexyl phthalate|1,2-benzenedicarboxylic acid, dihexyl ester, branched and linear","1","1","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID236008|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8970"
"ALRLPDGCPYIVHP-UHFFFAOYSA-N","5522-43-0","226-868-2","pyrene, 1-nitro-","0","0","0","0","1","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID21694"
"ALRNDEVMBWIXII-UHFFFAOYSA-G","164058-22-4","413-590-3","trisodium [4'-(8-acetylamino-3,6-disulfonato-2-naphthylazo)-4''-(6-benzoylamino-3-sulfonato-2-naphthylazo)-biphenyl-1,3',3'',1'''-tetraolato-O,O',O'',O''']copper(II)","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID168355672"
"AMACQCMCZPHYIQ-UHFFFAOYSA-N","68958-89-4","273-379-5","Bis(ethane-1,2-diamine-N,N')nickel(2+) bis[bis(cyano-C)aurate(1-)]","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID111928"
"AMFARPFBUUDQLJ-UHFFFAOYSA-N","14402-75-6","238-371-8","Cadmium dipotassium tetracyanide","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID13743169|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID26666|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID49868028"
"AMHNZOICSMBGDH-UHFFFAOYSA-L","9006-42-2","","Metiram","0","0","0","0","0","0","1","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID101815861|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5284484|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3032296"
"AMJRWYXCCAKMKX-UHFFFAOYSA-M","220689-12-3","444-440-5","tetrabutyl-phosphonium nonafluoro-butane-1-sulfonate","0","1","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID22678967"
"AMLMJYSFCBXMRG-UHFFFAOYSA-N","38232-63-2","","Mercurous azide","0","0","0","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID61977|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID49868094"
"AMPPZWAWRVKPER-UHFFFAOYSA-N","12059-14-2","235-033-1","dinickel silicide","1","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID14767304"
"AMRQXHFXNZFDCH-VIFPVBQESA-N","16118-49-3","240-286-6","(2R)-1-(ethylamino)-1-oxopropan-2-yl phenylcarbamate|(R)-1-(ethylcarbamoyl)ethyl carbanilate|carbetamide (ISO)","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID443067"
"ANIAQSUBRGXWLS-UHFFFAOYSA-N","327-98-0","206-326-1","phosphonothioic acid, ethyl-, O-ethyl O-(2,4,5-trichlorophenyl) ester","0","0","0","0","1","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID9477"
"ANOIYNQEGBGXBO-UHFFFAOYSA-M","13864-38-5","","Phenylmercury octanoate","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID16683729"
"ANOXRQJTDCFENL-QZVDAIQISA-J","77245-35-3","","Nickel, bis[[didecyl (1,2-dicyano-1,2-ethenediyl)bis[carbamato]](2-)]-","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID91808928"
"ANTJAOCZNGADFY-UHFFFAOYSA-L","49784-44-3","256-489-8","Hydrogen [N,N-bis(carboxymethyl)glycinato(3-)-N,O,O',O'']cadmate","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID39527|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID56840873|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID76418693"
"ANVXNTXJGMBLMW-UHFFFAOYSA-N","107-28-8","","Ethylhydroxymercury","0","0","0","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID409302|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID49873767"
"ANZYHCANZHHXJG-UHFFFAOYSA-N","84852-36-8","284-348-0","(isodecanoato-O)(isononanoato-O)nickel","1","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID119057735"
"AOAVIJUEFJPSAI-GZDDRBCLSA-N","40334-70-1","","Arsine, tris(2-chloroethenyl)-","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5352143"
"AOBXSTDXJGPLRC-UHFFFAOYSA-J","15708-55-1|11079-07-5","692-065-2|679-904-8","nickel(2+) disodium 2,2',2'',2'''-(ethane-1,2-diyldinitrilo)tetraacetate|Ethylenediaminetetraacetic Acid Disodium Nickel(II) Salt Hydrate","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID149739"
"AOCBSKJGAZMQKM-UHFFFAOYSA-O","125275-86-7","","Nickelate(1-), (formato-O)[sulfato(2-)-O]-, hydrogen","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID132427575"
"AOOKHLGAVNECET-UHFFFAOYSA-N","121158-58-5","310-154-3","phenol, dodecyl-, branched","1","1","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID66866822"
"AOPCKOPZYFFEDA-UHFFFAOYSA-N","13138-45-9","236-068-5","nickel dinitrate","1","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID25736"
"APFTYZSAOLWHTM-UHFFFAOYSA-L","15195-06-9|91724-16-2","","Arsenious acid (HAsO2), strontium salt|Strontium arsenite (Sr(As2O4))","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID167445"
"APNSGVMLAYLYCT-UHFFFAOYSA-N","542-56-3","208-819-7","isobutyl nitrite","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID10958"
"APNZVTSMUNHRHL-UHFFFAOYSA-M","21006-73-5|73003-83-5","244-144-4|277-208-5","Tetraphenylarsonium (hydrogen dichloride)|Tetraphenylarsonium chloride, compound with hydrochloric acid (1:1)","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID88752|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3018393"
"APQHKWPGGHMYKJ-UHFFFAOYSA-N","56-35-9","200-268-0","Bis(tributyltin) oxide (TBTO)","0","1","0","0","1","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID13751184|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID16682746"
"APUPEJJSWDHEBO-UHFFFAOYSA-P","13106-76-8","236-031-3","Ammonium molybdate(VI)","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID61578"
"APVQKANRVZTXCP-UHFFFAOYSA-N","1139800-98-8","","4-(4-methylhexyl)phenol","0","1","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID57069723"
"AQCDIIAORKRFCD-UHFFFAOYSA-N","1306-24-7","215-148-3","Cadmium selenide","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID14784|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID24775762"
"AQEVYDYZRHDMFO-UHFFFAOYSA-N","94200-45-0","303-523-5","Diammonium 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heptadecafluoro-2-hydroxyundecyl phosphate","0","0","0","1","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID44147160"
"AQPHBYQUCKHJLT-UHFFFAOYSA-N","13654-09-6","237-137-2","Decabromo-1,1'-biphenyl","0","0","1","0","1","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID26164"
"AQQHXPJLFFJBCZ-UHFFFAOYSA-N","13775-54-7","237-411-1","dinickel orthosilicate","1","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID15531081"
"AQTSNQQRPNNYRB-UHFFFAOYSA-N","12510-42-8","620-440-2","erionite","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID61565"
"AQVKIYUWIAJIOT-UHFFFAOYSA-L","816-68-2","212-436-0","Lead malate","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID13158|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID129671300"
"ARERIMFZYPFJAV-UHFFFAOYSA-N","40088-47-9","254-787-2","Diphenyl ether, tetrabromo derivative","0","0","0","1","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID38386"
"ARQAHSUAYIMCHD-UHFFFAOYSA-K","21995-30-2","244-700-6","Ammonium europium(3+) disulphate","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID56843852"
"ARSRBNBHOADGJU-UHFFFAOYSA-N","57-97-6","200-359-5","benz[a]anthracene, 7,12-dimethyl-","0","0","0","0","1","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6001"
"ARUVKPQLZAKDPS-UHFFFAOYSA-L","7758-98-7","231-847-6","copper sulphate","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID24462"
"ASFUTODRBWNUCU-UHFFFAOYSA-M","15091-94-8","239-145-1","Ammonium scandium(3+) disulphate","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID19900049"
"ASVDRLYVNFOSCI-UHFFFAOYSA-N","1705-85-7","216-942-2","chrysene, 6-methyl-","0","0","0","0","1","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID15564"
"ASXBPHUHJDRIAA-UHFFFAOYSA-N","31748-25-1","250-788-7","nickel silicate (3:4)","1","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID169355"
"ASXNLSWYLPNEIU-UHFFFAOYSA-J","13876-85-2","237-634-4","Dicopper tetraiodomercurate","0","0","0","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID14574546|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID166942|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID56846059"
"ATBAMAFKBVZNFJ-UHFFFAOYSA-N","7440-41-7","231-150-7","beryllium","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5460467"
"ATBQNLZREVOGBO-UHFFFAOYSA-N","27942-27-4","248-743-1","20-(4-nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol","0","1","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID119758"
"ATHHXGZTWNVVOU-UHFFFAOYSA-N","123-39-7","204-624-6","N-methylformamide","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID31254"
"ATINIWORWZUEEJ-UHFFFAOYSA-P","13628-49-4","237-111-0","Diammonium gadolinium pentanitrate","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID44145619"
"ATMKIOHDSQEHSM-UHFFFAOYSA-L","13778-36-4","","Lead bromide chloride","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID24839891|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID26267"
"ATROHALUCMTWTB-WYMLVPIESA-N","14816-18-3","238-887-3","3,5-dioxa-6-aza-4-phosphaoct-6-ene-8- nitrile, 4-ethoxy-7-phenyl-, 4-sulfide","0","0","0","0","1","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID26927"
"ATUOYWHBWRKTHZ-UHFFFAOYSA-N","68476-49-3|68606-26-8|68527-16-2|74-98-6","270-689-2|271-735-4|271-259-7|200-827-9","Hydrocarbons, C2-4, C3-rich|Petroleum gas|Hydrocarbons, C3|Hydrocarbons, C1-3|[A complex combination of hydrocarbons having carbon numbers predominantly in the range of C1 through C3 and boiling in the range of approximately minus 164 °C to minus 42 °C (– 263 °F to – 44 °F).]|propane","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6334"
"ATUOYWHBWRKTHZ-UHFFFAOYSA-N","6842-15-5","","1-propene, tetramer","0","0","0","0","1","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6334"
"ATZBPOVXVPIOMR-UHFFFAOYSA-N","593-74-8","209-805-3","Dimethylmercury","0","0","0","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID11645"
"AUALKMYBYGCYNY-UHFFFAOYSA-E","52336-55-7","257-857-0","Triammonium triiron tetracitrate","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID170839874|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6452618"
"AUHHYELHRWCWEZ-UHFFFAOYSA-N","117-08-8","204-171-4","tetrachlorophthalic anhydride","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8326"
"AUIZLSZEDUYGDE-UHFFFAOYSA-L","5743-04-4","611-525-5","Cadmium di(acetate), dihydrate","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6537495"
"AUJUFEAAGGBXNH-UHFFFAOYSA-N","25168-15-4","246-700-1","acetic acid, (2,4,5-trichlorophenoxy)-, isooctyl ester","0","0","0","0","1","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID518275"
"AUNAPVYQLLNFOI-UHFFFAOYSA-L","12656-85-8","235-759-9","lead chromate molybdate sulfate red|[This substance is identified in the Colour Index by Colour Index Constitution Number, C.I. 77605.]|C.I. Pigment Red 104","1","1","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID138394069"
"AUXQRZIGZMRZBW-UHFFFAOYSA-N","628-86-4","211-057-8","Mercury difulminate","0","0","0","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID11022444|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID170839095"
"AVCJNNNXIOVOOW-UHFFFAOYSA-L","35029-96-0","252-324-9","Lead(II) methylthiolate","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID37025|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2735069"
"AVCSIOZFGRLIDK-UHFFFAOYSA-J","42579-89-5","255-896-8","Sulphuric acid, barium lead salt","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID170673"
"AVNPYADPFYLJJA-UHFFFAOYSA-L","4167-05-9","224-022-7","Cadmium 4-(1,1-dimethylethyl)benzoate","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID77829"
"AVVSGTOJTRSKRL-UHFFFAOYSA-L","15845-52-0","239-952-9","Lead hydrogenorthophosphate","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID16713083|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID61820"
"AVYKQOAMZCAHRG-UHFFFAOYSA-N","51851-37-7","257-473-3","Triethoxy(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)silane","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID103991"
"AWDHUGLHGCVIEG-UHFFFAOYSA-N","13463-39-3","236-669-2","nickel tetracarbonyl|tetracarbonylnickel","1","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID26039|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID518772"
